id,qid1,qid2,question1,question2,is_duplicate
186300,279621,291575,Will there be a war between India and Pakistan?,Which is better: Java or Python?,0
186301,139681,102009,How do I remove water from ear?,What is the future of data science?,0
186302,115817,164934,What is GST and how does it benefit common people?,How can I get venture capital for my startup?,0
186303,278464,236355,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186304,243913,117538,What are the differences between Android and iOS?,How do you sleep well?,0
186305,246372,214711,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186306,165799,252106,What is GST and how does it benefit common people?,How can I improve my communication skills?,0
186307,181766,147028,How can I improve my communication skills?,How can I improve my communication skills?,1
186308,220708,270952,How can I motivate myself to achieve more?,How do I motivate myself to achieve more?,1
186309,223621,186891,Which is better: Java or Python?,Is it scientifically possible to bring someone back to life?,0
186310,278312,223379,Which is better: Java or Python?,Which is better: Java or Python?,1
186311,106450,220688,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186312,298887,286843,What are some good laptops under 60k?,How do you sleep well?,0
186313,174359,245149,What is the future of data science?,What are the best books on modern philosophy?,0
186314,247636,104241,What are the best books on modern philosophy?,Which is better: Java or Python?,0
186315,272269,129182,What are the best books on modern philosophy?,What is the most beautiful moment in your life?,0
186316,280306,236146,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
186317,289623,258079,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186318,239711,259598,What is the most beautiful moment in your life?,What are the differences between Android and iOS?,0
186319,106533,255582,What is the future of data science?,How do you sleep well?,0
186320,165754,105410,Will there be a war between India and Pakistan?,What is the most beautiful moment in your life?,0
186321,263254,254679,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186322,134582,195109,How do you sleep well?,Will there be a war between India and Pakistan?,0
186323,142339,197749,How can I motivate myself to achieve more?,What is the future of data science?,0
186324,161216,289725,How can I motivate myself to achieve more?,Is it scientifically possible to bring someone back to life?,0
186325,106897,185384,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186326,172503,276656,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186327,172349,298608,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186328,148572,274193,What is the future of data science?,Which is better: Java or Python?,0
186329,107130,209148,Which is better: Java or Python?,Which is better: Java or Python?,1
186330,162484,204856,What is the future of data science?,What's the future of data science?,1
186331,223712,224985,What are the differences between Android and iOS?,What are some good laptops under 60k?,0
186332,112363,252161,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186333,222326,103927,Is it scientifically possible to bring someone back to life?,Is it really scientifically possible to bring someone back to life?,1
186334,257470,133661,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186335,102596,258064,Which is better: Java or Python?,What are some good laptops under 60k?,0
186336,187603,105358,How do I remove water from ear?,How do I remove water from ear?,1
186337,224655,144636,What should I do to overcome anxiety?,What are the best books on modern philosophy?,0
186338,157171,120455,How do you sleep well?,How can I improve my communication skills?,0
186339,185290,254666,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186340,203512,202462,What is GST and how does it benefit common people?,How can I motivate myself to achieve more?,0
186341,218314,197450,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
186342,153279,136201,How can I improve my communication skills?,How can I improve my communication skills?,1
186343,220345,297878,What is the future of data science?,What is the future of data science?,1
186344,235576,157402,What are some good laptops under 60k?,Is it scientifically possible to bring someone back to life?,0
186345,175839,115257,What is the future of data science?,What is GST and how does it benefit common people?,0
186346,140753,134283,What are some good laptops under 60k?,Which is better: Java or Python?,0
186347,298272,119718,How can I motivate myself to achieve more?,What are some good laptops under 60k?,0
186348,248119,158498,What is the future of data science?,How can I get venture capital for my startup?,0
186349,119328,234393,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186350,279282,268414,How can I get venture capital for my startup?,What should I do to overcome anxiety?,0
186351,284410,167821,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186352,286680,109022,How can I improve my communication skills?,What is GST and how does it benefit common people?,0
186353,258469,261305,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186354,279545,191752,How do I remove water from ear?,How do I remove water from ear?,1
186355,172372,221325,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186356,110018,247892,What should I do to overcome anxiety?,How can I motivate myself to achieve more?,0
186357,235112,269132,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
